smiles,logp,qed,Nacceptors,Ndonners,molwt
O=C(Nc1cncc2ccccc12)[C@@H]1CCNc2cc(Cl)c(Cl)cc21,5.079500000000003,0.6597209287605735,4,2,371.05921746
O=C(Nc1cccc2ccccc2s1)[C@H]1CCCc2cc(Cl)c(Cl)cc21                                                                         ,6.190000000000003,0.6490443915054148,2,1,401.04079052400004
O=C(Nc1ccccc1)c1cccn1N                                                                                                  ,1.4541999999999997,0.7223569493043515,4,2,201.090211972
O=C(Nc1ccccc1)c1ccccn1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1ccccn1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1ccccn1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1cccnc1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1ccncn1                                                                                                  ,1.7288999999999999,0.800847565050751,4,1,199.074561908
O=C(Oc1ccccc1)c1cccnc1                                                                                                  ,2.3007999999999997,0.5499375983771566,3,0,199.063328528
O=C(Cc1ccccc1)c1ccncn1                                                                                                  ,1.902,0.7072675475309994,3,0,198.07931294
O=C(Nc1ccccn1)c1ccccc1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1ccncc1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Cc1ccccc1)c1ccccn1                                                                                                  ,2.5070000000000006,0.7074843567476482,2,0,197.084063972
O=C(Nc1ccccc1)c1ccccc1                                                                                                  ,2.938900000000001,0.7874913866928777,2,1,197.084063972
O=C(Nc1ccccc1)c1ccccn1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1ccccn1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1ccccc1                                                                                                  ,2.938900000000001,0.7874913866928777,2,1,197.084063972
O=C(Nc1ccccc1)c1cccnc1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Nc1ccccc1)c1ccccn1                                                                                                  ,2.3339,0.8042302799124038,3,1,198.07931294
O=C(Cc1ccccc1)Nc1ccccc1                                                                                                 ,2.867800000000001,0.8305851686304766,2,1,211.099714036
O=C(Nc1ccccc1)Nc1cccnc1,2.7256,0.8054091984666042,4,2,213.090211972
