smiles,logp,qed,Nacceptors,Ndonners,molwt
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O,0.544700000000002,0.28272584145194296,11,5,485.1831859519999
OCC(C1CCOCC1)NNc1cccnc1                                                                                                 ,0.7855999999999993,0.6605756704984399,5,3,237.147726848
OCC(C1CCOCCC1)Nc1cccnc1                                                                                                 ,1.6711000000000003,0.8346939832552176,4,2,236.15247788
OCC(C1CCSCCC1)Nc1cccnc1                                                                                                 ,2.3877000000000006,0.8634289018337953,3,2,252.12963426
OCC(CC1CCCCC1)Nc1cccnc1                                                                                                 ,2.8248000000000006,0.8231309941614752,3,2,234.173213324
OCC(C1CCCCCC1)Nc1cccnc1                                                                                                 ,2.8248000000000006,0.7873862636969619,3,2,234.173213324
O/C(CC1CCCCC1)Nc1cccnc1                                                                                                 ,2.7823,0.766862053475273,3,2,220.15756326
OCC(CC1CCOCC1)Nc1cccnc1                                                                                                 ,1.6711,0.8162699204566133,4,2,236.15247788
OCC(CC1CCCCC1)Nc1cccnc1                                                                                                 ,2.8248000000000006,0.8231309941614752,3,2,234.173213324
OCC(C1CCCCCC1)Nc1cccnc1                                                                                                 ,2.8248000000000006,0.7873862636969619,3,2,234.173213324
OCC(CC1CCCCC1)Nc1cccnc1                                                                                                 ,2.8248000000000006,0.8231309941614752,3,2,234.173213324
O=C(CC1CCCCC1)Nc1cccnc1                                                                                                 ,2.990500000000001,0.8470011524151967,3,1,218.141913196
O=C(CC1CCCCC1)Nc1cccnc1                                                                                                 ,2.990500000000001,0.8470011524151967,3,1,218.141913196
OCC(CC1CCCCC1)Nc1cccnc1                                                                                                 ,2.8248000000000006,0.8231309941614752,3,2,234.173213324
O=C(CC1CCCCC1)Nc1cccnc1,2.990500000000001,0.8470011524151967,3,1,218.141913196
