smiles,logp,qed,Nacceptors,Ndonners,molwt
C#CCCCC(=O)N[C@H](C(=O)N[C@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)/C=C/C(=O)OC)C(C)(C)C,0.31610000000000493,0.08131314231188806,12,4,535.300598652
OCC(NCl)c1ccc1OC1C[C@H]1                                                                                                ,0.9077900000000001,0.6486200884503148,3,2,200.047831272
OCC(Nc1ccccc1)c1Ncccnc1                                                                                                 ,1.4885,0.7328277717978247,4,3,229.1215121
OCC(Nc1ccccc1)C1ccccnc1                                                                                                 ,2.2298999999999998,0.8296605360811371,3,2,228.126263132
OCC(Nc1ccccc1)N1ccccnc1                                                                                                 ,1.7882000000000002,0.8271264300549779,4,2,229.1215121
O=C(Nc1ccccc1)N1cccnnc1                                                                                                 ,2.0619,0.7638464737209683,5,1,214.08546094
O=C(Nc1ccccc1)Nc1cccnc1                                                                                                 ,2.7256,0.8054091984666042,4,2,213.090211972
OCC(Nc1ccccc1)C1ccccnc1                                                                                                 ,2.2298999999999998,0.8296605360811371,3,2,228.126263132
O=C(Nc1ccccc1)N1ccccnc1                                                                                                 ,2.5898000000000003,0.7651954566899322,4,1,213.090211972
OCC(Nc1ccccc1)Nc1cccnc1                                                                                                 ,1.924,0.6855856534366038,4,3,229.1215121
O=C(Nc1ccccc1)Nc1cccnc1                                                                                                 ,2.7256,0.8054091984666042,4,2,213.090211972
OCC(Nc1ccccc1)Nc1cccnc1                                                                                                 ,1.924,0.6855856534366038,4,3,229.1215121
O=C(Nc1ccccc1)Nc1cccnc1,2.7256,0.8054091984666042,4,2,213.090211972
