smiles,logp,qed,Nacceptors,Ndonners,molwt
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1ncnc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,2.8305000000000007,0.5757608445633522,5,1,273.030504176
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
OCC(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.3287000000000013,0.7740461504321351,4,2,288.066555336
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Oc1cncc(Cl)n1)c1cccc2[nH]ccc12                                                                                      ,2.8305000000000007,0.7291551799464437,5,1,273.030504176
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Oc1nncc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,2.8305000000000007,0.7291551799464437,5,1,273.030504176
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.435500000000001,0.7272379499441562,4,1,272.035255208
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Oc1cccc(Cl)c1)c1nccc2[nH]ccc12                                                                                      ,3.435500000000001,0.5742469473907088,4,1,272.035255208
O=C(Oc1cccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,4.0405000000000015,0.5644776335529493,3,1,271.04000623999997
O=C(Nc1nccc(Cl)c1)c1cccc2[nH]ccc12                                                                                      ,3.4686000000000012,0.7497210373039224,4,2,271.05123962
O=C1C(c2cccc(Cl)c2)NC1Cc1cncc2ccccc12                                                                                   ,3.712900000000002,0.7989273928074847,3,1,322.08729078000005
O-c1C(c2cccc(Cl)c2)CC1Cc1cncc2ccccc12                                                                                   ,4.5953000000000035,0.764076807105877,2,1,323.107691876
O=C1C(c2cccc(Cl)c2)CC1Cc1cncc2ccccc12                                                                                   ,4.803500000000004,0.6930221033363472,2,0,321.092041812
OC1=C(c2cccc(Cl)c2)CC1Cc1cncc2ccccc12                                                                                   ,5.419900000000004,0.6983595020885051,2,1,321.092041812
O=C1C(c2cccc(Cl)c2)CC1C1ccncc2ccccc12                                                                                   ,4.742600000000004,0.7850131087750187,2,0,321.092041812
Oc1c(Cc2cccc(Cl)c2)CCN1c1cncc2ccccc12                                                                                   ,5.110600000000003,0.721580623555431,3,1,336.10294084400005
OCC1(Cc2cccc(Cl)c2)CCN1c1cncc2ccccc12                                                                                   ,4.0721000000000025,0.7785988752647529,3,1,338.11859090800004
O=C1C(c2cccc(Cl)c2)CCN1c1cncc2ccccc12,4.408700000000003,0.6999261953880773,3,0,322.08729078000005
